dataset,data_size,d,sigma,learner,model,epsilon,MSE,MSE_ATE,MSEavg,MSEavg_ATE,num_effective_avg,iBias2,iVar,bias_ATE,iBias2_ATE,iVar_ATE
Voting,8000,11,,SLearner1,Lasso,,"[0.017820506692166733, 0.019142511321895275, 0.018059532635469694, 0.017951887063784634, 0.018126941063238734]","[0.018410815479691433, 0.0182816018193154, 0.019439208608001433, 0.01862903306259289, 0.01798931490129942]","[0.017746546440537317, 0.01882658717591613, 0.0178984007850634, 0.017867419998691673, 0.018055601201790207]","[0.01774654644053732, 0.01882658717591613, 0.017898400785063395, 0.01786741999869168, 0.0180556012017902]","[5, 5, 5, 5, 5]","[0.01772805637762996, 0.018747606139421346, 0.017858117822461828, 0.017846303232418433, 0.018037766236428075]","[9.245031453677076e-05, 0.00039490518247393015, 0.00020141481300786548, 0.00010558383136620008, 8.917482681065902e-05]","[0.0407003123651231, 0.05231210339871076, 0.04252493117154538, 0.042159091365599366, 0.04433475146960314]","[0.017580479180748794, 0.0182816018193154, 0.017513198829328884, 0.017677016732716377, 0.01798931490129942]","[0.0008303362989426407, 0, 0.0019260097786725485, 0.0009520163298765106, 0]"
Voting,8000,11,,DRLearner,Lasso,,"[0.0017510699930144012, 0.003359384914240811, 0.0035619415930264204, 0.003000906868663308, 0.002198870057021581]","[0.016292291614688755, 0.016149296132936374, 0.016254770951775372, 0.01623705936314873, 0.016209422354273573]","[0.000919448363198987, 0.0021224019174564688, 0.002411882901322435, 0.0017830141752345635, 0.0015517210636716932]","[0.016108284622893057, 0.016220312811940515, 0.0161208083862387, 0.01609407480799934, 0.016099154240788678]","[5, 5, 5, 5, 5]","[0.0007115429557451333, 0.0018131561682603833, 0.0021243682283964387, 0.0014785410018773773, 0.0013899338153342212]","[0.001039527037269268, 0.0015462287459804278, 0.001437573364629982, 0.001522365866785931, 0.0008089362416873597]","[0.004272424250274576, 0.011414105222127158, 0.005547735783180019, 0.002010918715566634, -0.00302046798856645]","[0.01606228287494413, 0.016149296132936374, 0.016087317744854533, 0.016058328669211995, 0.016071587212417453]","[0.00023000873974462262, 0, 0.00016745320692083867, 0.00017873069393673814, 0.00013783514185611908]"
Voting,8000,11,,RLearner,Lasso,,"[0.00185386169031658, 0.0032394767904117034, 0.0033952010204752643, 0.002840164092236483, 0.002029422203333238]","[0.016392217049514064, 0.016108034728945824, 0.01622230814627862, 0.01618370888368884, 0.016266494546251297]","[0.0008798172216981223, 0.0019330262835694641, 0.0021942664275403784, 0.001645411303316897, 0.0013994466963284133]","[0.016110013277194375, 0.016171936833483603, 0.0161009893602545, 0.01609010161947197, 0.016112447686190034]","[5, 5, 5, 5, 5]","[0.0006363061045435079, 0.0016064136568589044, 0.0018940327793066569, 0.0013467231060870005, 0.001241952819577207]","[0.0012175555857730721, 0.001633063133552799, 0.0015011682411686074, 0.0014934409861494823, 0.0007874693837560311]","[0.004470152489082224, 0.00905018339951602, 0.0033103393082544452, 0.00026571705486308494, -0.004734624828992173]","[0.016039462334114452, 0.016108034728945824, 0.01607065966374847, 0.016066699803417753, 0.016073935971174718]","[0.00035275471539961134, 0, 0.0001516484825301494, 0.00011700908027108704, 0.00019255857507657903]"
Voting,4000,11,,SLearner1,Lasso,,"[0.017485728097270947, 0.019022687732776336, 0.018228345300634857, 0.01868198671478843, 0.01814772155543347]","[0.017047397565209673, 0.020328220414235633, 0.016783936365287352, 0.0238933505161322, 0.019178722593387872]","[0.017388493258822753, 0.0188775492571124, 0.01800552277217076, 0.018123181230432012, 0.018062698911038812]","[0.017388493258822753, 0.0188775492571124, 0.01800552277217076, 0.01812318123043201, 0.018062698911038812]","[5, 5, 5, 5, 5]","[0.017364184549210702, 0.018841264638196416, 0.01794981714005474, 0.017983479859342906, 0.01804144324994015]","[0.00012154354806024302, 0.00018142309457991855, 0.0002785281605801205, 0.0006985068554455232, 0.00010627830549332033]","[0.03603418161834718, 0.05279695297262599, 0.04376633133188158, 0.045090467024785696, 0.04441472612906765]","[0.017047397565209673, 0.018514881467831593, 0.016783936365287352, 0.01668063890900696, 0.017783692990451547]","[0, 0.0018133389464040396, 0, 0.007212711607125239, 0.0013950296029363249]"
Voting,4000,11,,DRLearner,Lasso,,"[0.0028812741982112543, 0.0037023890682618263, 0.0069187414931154425, 0.0038583844968401023, 0.004374676882079159]","[0.016107485581249324, 0.01630507249788165, 0.016368068475858647, 0.016490804708210953, 0.017372556275592994]","[0.0010676290003481495, 0.0016745921479977483, 0.00303196868926593, 0.0022360634402917847, 0.0017810830261509162]","[0.016106610171526852, 0.01618997985878405, 0.01611279246296008, 0.016133318891596964, 0.01614425328580798]","[5, 5, 5, 5, 5]","[0.0006142177008823732, 0.0011676429179317289, 0.0020602754883035515, 0.0018304831761547053, 0.0011326845621688554]","[0.002267056497328881, 0.0025347461503300974, 0.004858466004811891, 0.002027901320685397, 0.0032419923199103035]","[0.004071751172177451, 0.009997441916076683, 0.004770896041767836, -0.006579352375290337, -0.007363577383938863]","[0.016106391319096233, 0.016161206699009653, 0.01604897345973544, 0.016043947437443466, 0.015837177538361724]","[1.0942621530901295e-06, 0.00014386579887199803, 0.00031909501612320795, 0.0004468572707674867, 0.0015353787372312687]"
Voting,4000,11,,RLearner,Lasso,,"[0.0031106486606966737, 0.0034763655083894464, 0.006582758112365249, 0.0036006914804636784, 0.004255410991388044]","[0.016096344835315607, 0.016360948002435406, 0.01618719332887871, 0.016741470091900957, 0.01777217435381119]","[0.0012021905194164297, 0.001458248035106695, 0.0028940620299478374, 0.0020925795276134974, 0.0015912862750248008]","[0.016116199266849224, 0.016203130483414343, 0.0161342468138393, 0.016125175544384657, 0.01613590389835609]","[5, 5, 5, 5, 5]","[0.0007250759840963686, 0.0009537186667860072, 0.001971888009343484, 0.0017155515394009521, 0.0009252550959339897]","[0.002385572676600305, 0.002522646841603439, 0.004610870103021765, 0.0018851399410627263, 0.0033301558954540542]","[0.0051154914651966865, 0.010634823435093727, 0.006649496215546891, -0.005928282252552847, -0.006772952416588013]","[0.016096344835315607, 0.016163676103659076, 0.016121010185079446, 0.015971101907505583, 0.015726836284492316]","[0, 0.00019727189877632913, 6.618314379926507e-05, 0.0007703681843953744, 0.0020453380693188743]"
Voting,16000,11,,SLearner1,Lasso,,"[0.01821993387618478, 0.018401981369556213, 0.018136968194884782, 0.018232596959355786, 0.018257714256761655]","[0.01807066290332604, 0.017667663304709313, 0.019078157135465346, 0.01829438620034549, 0.017860080935883666]","[0.0181162883048777, 0.018371473304305535, 0.018096556508193314, 0.018164966364896746, 0.018119206486111455]","[0.0181162883048777, 0.01837147330430553, 0.018096556508193307, 0.01816496636489675, 0.018119206486111455]","[5, 5, 5, 5, 5]","[0.01809037691205093, 0.018363846287992865, 0.018086453586520446, 0.018148058716281987, 0.018084579543448907]","[0.00012955696413385117, 3.8135081563347994e-05, 5.051460836433524e-05, 8.453824307380012e-05, 0.00017313471331274928]","[0.04501396773179382, 0.04776444588171003, 0.04479425738054582, 0.04555145827498856, 0.04504637024436853]","[0.01807066290332604, 0.017667663304709313, 0.017851156351375297, 0.018132611406034563, 0.017860080935883666]","[0, 0, 0.0012270007840900488, 0.00016177479431092514, 0]"
Voting,16000,11,,DRLearner,Lasso,,"[0.0017789970224437338, 0.0019281673270565385, 0.001832522661848871, 0.0022844705351352007, 0.0023596672086909844]","[0.01609254696081775, 0.016318029792150884, 0.016461680870694165, 0.016256152527990148, 0.016095844809892238]","[0.0010224369206446673, 0.0012660789623317827, 0.001230880326655872, 0.0016726395276388337, 0.001583771061455136]","[0.01610760512651342, 0.016117130903641492, 0.01609003192483956, 0.01610403972193456, 0.01609093279790602]","[5, 5, 5, 5, 5]","[0.0008332968951949007, 0.0011005568711505939, 0.0010804697428576223, 0.001519681775764742, 0.001389797024646174]","[0.0009457001272488331, 0.0008276104559059446, 0.0007520529189912486, 0.0007647887593704587, 0.0009698701840448105]","[0.0041921489232483455, 0.0052057554420822105, -3.0181465083184422e-05, 0.0037428208634449345, 0.0009496230764342306]","[0.01609254696081775, 0.016066906181514143, 0.01599711968837591, 0.016066011520420663, 0.016089704794909468]","[0, 0.0002511236106367406, 0.00046456118231825647, 0.0001901410075694828, 6.140014982771065e-06]"
Voting,16000,11,,RLearner,Lasso,,"[0.0015938009987216167, 0.0018895867121122597, 0.001836313692385422, 0.0023976537901682993, 0.002224799444538205]","[0.016090111579291487, 0.01648543744073415, 0.016404153181909794, 0.016207409318108306, 0.016098690115558104]","[0.0009310181612877537, 0.0012062648517164514, 0.0012199434993801913, 0.0017057633576480489, 0.0014940135264715213]","[0.016097882538334687, 0.016098023626265334, 0.016090892027409962, 0.01609741922101407, 0.01609008692718853]","[5, 5, 5, 5, 5]","[0.000765322451929288, 0.0010354343866174993, 0.0010658509511288837, 0.0015327907495179863, 0.0013113170469548504]","[0.0008284785467923288, 0.0008541523254947604, 0.0007704627412565383, 0.000864863040650313, 0.0009134823975833544]","[0.00280205717571258, 0.0028271208581535368, -0.0009279081265055611, 0.0027181256584908053, -0.0002364598693312958]","[0.016090111579291487, 0.01600117017264813, 0.016012576738785006, 0.01606992169674051, 0.01608793613009614]","[0, 0.0004842672680860187, 0.0003915764431247897, 0.00013748762136779526, 1.0753985461966e-05]"
Voting,1000,11,,SLearner1,Lasso,,"[0.017073955208066552, 0.020367523102963463, 0.019170849132521376, 0.01829401890902796, 0.018855872008176466]","[0.016093938808062383, 0.01728056161183422, 0.017683719294298617, 0.016091699012757855, 0.01814002253010108]","[0.016885766004426143, 0.02010413178147035, 0.018925112722692546, 0.01751397929503217, 0.01812398711095477]","[0.01688576600442614, 0.020104131781470354, 0.018925112722692546, 0.01751397929503217, 0.01812398711095477]","[5, 5, 5, 5, 5]","[0.01683871870351604, 0.020038283951097073, 0.018863678620235337, 0.017318969391533226, 0.01794101588664935]","[0.00023523650455051053, 0.0003292391518663895, 0.0003071705122860381, 0.000975049517494735, 0.0009148561215271186]","[0.028208775062157798, 0.06335693148781457, 0.053245485337010734, 0.03773523924812783, 0.04509940240220531]","[0.016093938808062383, 0.01728056161183422, 0.017683719294298617, 0.016091699012757855, 0.018119978256168193]","[0, 0, 0, 0, 2.0044273932886235e-05]"
